"id","old_id","created_at","updated_at","deleted_at","name_th","name_en","is_active","created_by_employee_id","updated_by_employee_id","deleted_by_employee_id"
1,N01,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายบริหาร,Management,0,,,
2,N02,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายพัฒนาทรัพยากรมนุษย์ ,Human Resource Development,0,,,
3,N03,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายสรรหาและคัดเลือกบุคลากร ,Recruitment ,0,,,
4,N04,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายบริหารทรัพยากรมนุษย์,Human Resource Management,0,,,
5,N05,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายการเงิน,Financial,0,,,
6,N06,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายบัญชี,Accounting,0,,,
7,N07,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายตรวจสอบภายใน,Internal Audit,0,,,
8,N08,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายกฏหมาย,Legal,0,,,
9,N09,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายการตลาด,Marketing,0,,,
10,N10,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายการตลาดต่างประเทศ,Export Marketing ,0,,,
11,N11,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายจัดซื้อไม้สับลอกเปลือก,Woodchip Purchasing,0,,,
12,N12,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายจัดซื้อ,Purchasing,0,,,
13,N13,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายเทคโนโลยีสารสนเทศ,MIS,0,,,
14,N14,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายส่งออก,Export,0,,,
15,N15,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายซ่อมบำรุง,Maintenance,0,,,
16,N16,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายบริการลูกค้า,Customer service,0,,,
17,N17,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายพัฒนาวัตถุดิบและงานซื้อไม้,Develop and Purchasing Woodchip,0,,,
18,N18,"2021-06-10 13:26:14.0","2021-06-10 13:26:14.0",,ฝ่ายควบคุมการผลิต,Production control,0,,,
