"id","old_id","created_at","updated_at","deleted_at","name_th","name_en","is_active","created_by_employee_id","updated_by_employee_id","deleted_by_employee_id","outsource_status","eligible_approve_ot","field_type_id","data_status"
1,p0000,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ไม่ระบุุ,"",0,,,,0,0,,
2,p0001,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,"",เจ้าหน้าที่จัดซื้อวัตถุดิบ,0,,,,0,0,,
3,p0002,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการฝ่ายบัญชี,Accounting manager,0,,,,0,0,,
4,p0003,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการฝ่ายการตลาด,Marketting manager,0,,,,0,0,,
5,p0004,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการแผนกบัญชี,ผู้จัดการแผนกบัญชี,0,,,,0,0,,
6,p0005,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่ส่งเสริม,เจ้าหน้าที่ส่งเสริม,0,,,,0,0,,
7,p0006,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่การตลาด,เจ้าหน้าที่การตลาด,0,,,,0,0,,
8,p0007,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่บัญชี,Account officer,0,,,,0,0,,
9,p0008,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่ข้อมูลไม้สับลอกเปลือก,เจ้าหน้าที่ข้อมูลไม้สับลอกเปลือก,0,,,,0,0,,
10,p0009,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่บุคคล,HRM Officer,0,,,,0,0,,
11,p0010,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,Assist.to Coo,Assist.to Coo,0,,,,0,0,,
12,p0011,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,หัวหน้าเขตส่งเสริม,หัวหน้าเขตส่งเสริม,0,,,,0,0,,
13,p0012,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการแผนกวิจัยตลาด,ผู้จัดการแผนกวิจัยตลาด,0,,,,0,0,,
14,p0013,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,โปรแกรมเมอร์,Programmer,0,,,,0,0,,
15,p0014,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการฝ่าย MIS,IT Director,0,,,,0,0,,
16,p0015,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่ประสานงาน IT,Project-co (MIS),0,,,,0,0,,
17,p0016,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,System Admin,System Admin,0,,,,0,0,,
18,p0017,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการบริหารงานขายสาขา 2,ผู้จัดการบริหารงานขายสาขา 2,0,,,,0,0,,
19,p0018,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการบริหารงานขายสาขา 1,ผู้จัดการบริหารงานขายสาขา 1,0,,,,0,0,,
20,p0019,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการฝ่ายส่งเสริมและจัดหาวัตถุดิบ,ผู้จัดการฝ่ายส่งเสริมและจัดหาวัตถุดิบ,0,,,,0,0,,
21,p0020,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่การเงิน,Finance officer,0,,,,0,0,,
22,p0021,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,Assistant to CO-CEO,"",0,,,,0,0,,
23,p0022,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,Assistant to CEO,Assistant to CEO,0,,,,0,0,,
24,p0023,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่ธุรการ,Admin Officer,0,,,,0,0,,
25,p0024,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,Assistant to k.SD,Assistant to k.SD,0,,,,0,0,,
26,p0025,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่จัดซื้อ,Purchesing Officer,0,,,,0,0,,
27,p0026,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่ฝึกอบรมและพัฒนาบุคคลากร,Trainnig officer(HRD),0,,,,0,0,,
28,p0027,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการฝ่ายทรัพยากรมนุษย์(Support),ผู้จัดการฝ่ายทรัพยากรมนุษย์(Support),0,,,,0,0,,
29,p0028,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการฝ่ายสรรหาและคัดเลือกบุคลากร,ผู้จัดการฝ่ายสรรหาและคัดเลือกบุคลากร,0,,,,0,0,,
30,p0029,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการแผนกสรรหาและคัดเลือกบุคลากร,ผู้จัดการแผนกสรรหาและคัดเลือกบุคลากร,0,,,,0,0,,
31,p0030,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่นิติกร(กฏหมาย),"",0,,,,0,0,,
32,p0031,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,รักษาการผู้จัดการบริหารงานขายสาขา 1,"",0,,,,0,0,,
33,p0032,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,รักษาการผู้จัดการบริหารงานขายเขต,รักษาการผู้จัดการบริหารงานขายเขต,0,,,,0,0,,
34,p0033,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,Graphic Design,Graphic Design,0,,,,0,0,,
35,p0034,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,Assistant to CFO,Assistant to CFO,0,,,,0,0,,
36,p0035,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่วิเคราะห์ภูมิศาสตร์,เจ้าหน้าที่วิเคราะห์ภูมิศาสตร์,0,,,,0,0,,
37,p0036,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,หัวหน้าศูนย์ประสานงานส่งเสริม,"",0,,,,0,0,,
38,p0037,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการแผนกติดตามไม้,"",0,,,,0,0,,
39,p0038,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,หัวหน้าโครงการถนนสีเขียว,"",0,,,,0,0,,
40,p0039,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,CEO,CEO,0,,,,0,0,,
41,p0040,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,SR,SR,0,,,,0,0,,
42,p0041,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการแผนกฝึกอบรมและพัฒนาบุคลากร,ผู้จัดการแผนกฝึกอบรมและพัฒนาบุคลากร,0,,,,0,0,,
43,p0042,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการแผนกบุคคล,"",0,,,,0,0,,
44,p0043,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,Assistant to SR,Assistant to SR,0,,,,0,0,,
45,p0044,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการฝ่ายตรวจสอบภายใน,ผู้จัดการฝ่ายตรวจสอบภายใน,0,,,,0,0,,
46,p0045,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่พัฒนาระบบ,เจ้าหน้าที่พัฒนาระบบ,0,,,,0,0,,
47,p0046,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่ตรวจสอบภายใน,Internal Audit Officer,0,,,,0,0,,
48,p0047,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,รก.ผจก.แผนกบุคคล,"",0,,,,0,0,,
49,p0048,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,บุคคลกิจการ,"",0,,,,0,0,,
50,p0049,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ที่ปรึกษาบริษัท,Advisor,0,,,,0,0,,
51,p0050,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,เจ้าหน้าที่บริหารงานส่งเสริม,"",0,,,,0,0,,
52,p0051,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการแผนกการเงิน,Financial Manager,0,,,,0,0,,
53,p0052,"2023-06-21 12:58:40.0","2023-06-21 12:58:40.0",,ผู้จัดการแผนกการตลาด,ผู้จัดการแผนกการตลาด,0,,,,0,0,,
