"id","old_id","created_at","updated_at","deleted_at","name_th","name_en","is_active","department_id","created_by_employee_id","updated_by_employee_id","deleted_by_employee_id"
1,"01-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกบริหาร,Management,0,1,,,
2,"01-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกเลขานุการ,Secretary Section,0,1,,,
3,"02-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกฝึกอบรมและพัฒนาบุคลากร ( Training),Human Resource & Dev,0,2,,,
4,"02-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกพัฒนาหลักสูตรและทรัพยากรมนุษย์  ,Curriculum developme,0,2,,,
5,"03-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกสรรหาและคัดเลือกบุคลากร ,Recruitment,0,3,,,
6,"04-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกทรัพยากรมนุษย์,Human Resource,0,4,,,
7,"04-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกอาคารและสถานที่,Buildings and Places,0,4,,,
8,"04-003","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกธุรการ,Administration Secti,0,4,,,
9,"05-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกการเงิน,Funding Section,0,5,,,
10,"06-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกบัญชี,Accounting,0,6,,,
11,"06-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกห้องชั่ง,Weight,0,6,,,
12,"07-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกตรวจสอบภายใน,Internal Audit,0,7,,,
13,"08-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกกฏหมาย,Lawyer Section,0,8,,,
14,"09-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกประชาสัมพันธ์ (PR),PR Section,0,9,,,
15,"09-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกการตลาด,Marketing Planner Se,0,9,,,
16,"09-003","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกสื่อการตลาด,Media Marketing Sect,0,9,,,
17,"09-004","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกวิจัยและพัฒนาข้อมูลการตลาด,Reserch and Developm,0,9,,,
18,"09-005","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกกิจกรรมการตลาด,Marketing Section,0,9,,,
19,"09-006","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกกิจกรรมการตลาดและบริการลูกค้า,Marketing and Custom,0,10,,,
20,"10-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกการตลาดต่างประเทศ,International Sectio,0,10,,,
21,"11-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกจัดซื้อไม้สับลอกเปลือก,Wood ship Section,0,11,,,
22,"12-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกจัดซื้อ,Procurement Section,0,12,,,
23,"13-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนก Development,Development Section,0,13,,,
24,"13-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนก Support,Support Section,0,13,,,
25,"13-003","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนก IT & Support,IT & Support,0,13,,,
26,"14-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกส่งออก,Export Sales Section,0,14,,,
27,"15-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกซ่อมบำรุง,Maintenance,0,15,,,
28,"15-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกคลังสินค้าและอะไหล่,Warehouse and spare ,0,15,,,
29,"16-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกบริการลูกค้า,Customer Services Se,0,16,,,
30,"17-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกพัฒนาวัตถุดิบและงานซื้อไม้,Development and buyi,0,17,,,
31,"17-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกส่งเสริมและจัดหาวัตถุดิบ,Promote & supply of ,0,17,,,
32,"18-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกควบคุมการผลิต,Production control S,0,18,,,
33,"19-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกประสานงานและขนส่ง,Office and Trasporta,0,19,,,
34,"20-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกควบคุมคุณภาพ,Quality Control,0,20,,,
35,"20-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกตรวจสอบคุณภาพ,Quality Inspection S,0,20,,,
36,"21-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกปุ๋ยและเคมีเกษตร,Chemical and Fertili,0,21,,,
37,"22-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกจัดซื้อที่ดิน,Land Purchase Sectio,0,22,,,
38,"23-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกค้าข้าว,Sale Rice Section,0,23,,,
39,"24-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกวิจัย,Reserch Section,0,24,,,
40,"25-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกวางแผน,Planing Section,0,25,,,
41,"26-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกส่วนรถบรรทุก,Turck Section Sectio,0,26,,,
42,"26-003","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกปฏิบัติการเดินรถ(ไม้ท่อน),Truck Lines Section,0,26,,,
43,"26-004","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกปฏิบัติการเดินรถ(อีสานบน),Track Lines Section,0,26,,,
44,"26-005","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกปฏิบัติการเดินรถ(อีสานล่าง),Track Lines Section,0,26,,,
45,"26-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกปฏิบัติการเดินรถ,Track Lines Section,0,26,,,
46,"27-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกประสานงานราชการ (GRM),GRM Section,0,27,,,
47,"28-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกสนับสนุน,Support Section,0,28,,,
48,"29-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกผลิต,Production Section,0,29,,,
49,"29-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกปฏิบัติการ,Operation,0,29,,,
50,"29-003","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกเชื้อเพลิง,Fuel,0,29,,,
51,"29-004","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกควบคุมคุณภาพ,Quality Control,0,29,,,
52,"30-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกเพาะเลี้ยงเนื้อเยื่อ,Seed Section,0,30,,,
53,"31-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกคลังสินค้าและอะไหล่,Warehouse and spare ,0,31,,,
54,"32-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกขาย,Sale Section,0,32,,,
55,"33-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกเครื่องจักรกลหนัก,Machinery Section,0,33,,,
56,"34-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกปฏิบัติการภาคสนาม,Fieldwork Section,0,34,,,
57,"35-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกศูนย์บริการ,Services Section,0,35,,,
58,"36-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกความปลอดภัย,Safety,0,36,,,
59,"37-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนก Plant concrete,Plant Concrete Secti,0,38,,,
60,"38-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกออกแบบ,Design Section,0,37,,,
61,"38-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกวิศวกรรม,Engineering Section,0,37,,,
62,"38-003","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกจักรกลหนัก,Hevy Machinery Secti,0,37,,,
63,"38-004","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกไฟฟ้า,Electrical Section,0,37,,,
64,"38-005","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกติดตั้ง,Install Section,0,37,,,
65,"38-006","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกโยธา,Civil Section,0,37,,,
66,"38-007","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนก Automation,Automation Section,0,37,,,
67,"39-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกชุมชนสัมพันธ์,CSR,0,39,,,
68,"40-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนก Erection,Erection Section,0,40,,,
69,"42-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกแปลงแม่พันธุ์,Cornal Stock Section,0,42,,,
70,"42-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกโรงเรือนเพาะชำ,Green house Section,0,42,,,
71,"42-003","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกลานอนุบาลกล้า,Outdoor Section,0,42,,,
72,"43-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกส่งเสริมและจัดหาวัตถุดิบ,Promote & Procuremen,0,43,,,
73,"44-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกประสิทธิภาพการผลิต,Efficiency Productio,0,44,,,
74,"45-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนก Commissioning Test,Commissioning Test S,0,45,,,
75,"46-001","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนก Application,Application Section,0,46,,,
76,"36-002","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกสิ่งแวดล้อม,Environtment,0,36,,,
77,"29-005","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกซ่อมบำรุง,Maintenance,0,29,,,
78,"36-003","2021-06-10 16:27:41.0","2021-06-10 16:27:41.0",,แผนกความปลอดภัย อาชีวอนามัย และสิ่งแวดล้อม,"occupational safety, health and environment",0,36,,,
79,"","2024-01-15 10:00:00.0","2024-01-15 10:00:00.0",,แผนกบริหาร,Administrative Section,1,,,,
